Scenario,Accuracy,Epochs,BestValAcc,Edges,Model,Metric,Retention
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.9
B: Sparse + Binary,0.7870000004768372,27,0.7699999809265137,9500,gcn,Jaccard,0.9
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.9
D: Sparse + Weighted,0.746999979019165,31,0.7580000162124634,9500,gcn,Jaccard,0.9
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.8
B: Sparse + Binary,0.7829999923706055,33,0.7699999809265137,8444,gcn,Jaccard,0.8
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.8
D: Sparse + Weighted,0.7450000047683716,33,0.765999972820282,8444,gcn,Jaccard,0.8
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.7
B: Sparse + Binary,0.7739999890327454,30,0.7559999823570251,7389,gcn,Jaccard,0.7
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.7
D: Sparse + Weighted,0.7289999723434448,30,0.7440000176429749,7389,gcn,Jaccard,0.7
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.6
B: Sparse + Binary,0.7120000123977661,30,0.7459999918937683,6333,gcn,Jaccard,0.6
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.6
D: Sparse + Weighted,0.6899999976158142,31,0.7419999837875366,6333,gcn,Jaccard,0.6
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.5
B: Sparse + Binary,0.6850000023841858,30,0.7200000286102295,5278,gcn,Jaccard,0.5
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.5
D: Sparse + Weighted,0.6669999957084656,32,0.699999988079071,5278,gcn,Jaccard,0.5
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.4
B: Sparse + Binary,0.6579999923706055,32,0.7099999785423279,4222,gcn,Jaccard,0.4
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.4
D: Sparse + Weighted,0.6449999809265137,30,0.7059999704360962,4222,gcn,Jaccard,0.4
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Jaccard,0.3
B: Sparse + Binary,0.6389999985694885,33,0.6679999828338623,3166,gcn,Jaccard,0.3
C: Full + Weighted,0.7229999899864197,28,0.7580000162124634,10556,gcn,Jaccard,0.3
D: Sparse + Weighted,0.6209999918937683,29,0.6579999923706055,3166,gcn,Jaccard,0.3
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.9
B: Sparse + Binary,0.7820000052452087,27,0.7860000133514404,9500,gcn,Adamic Adar,0.9
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.9
D: Sparse + Weighted,0.7289999723434448,29,0.7599999904632568,9500,gcn,Adamic Adar,0.9
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.8
B: Sparse + Binary,0.781000018119812,32,0.7900000214576721,8444,gcn,Adamic Adar,0.8
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.8
D: Sparse + Weighted,0.7149999737739563,29,0.7559999823570251,8444,gcn,Adamic Adar,0.8
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.7
B: Sparse + Binary,0.7580000162124634,37,0.7540000081062317,7389,gcn,Adamic Adar,0.7
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.7
D: Sparse + Weighted,0.7080000042915344,28,0.7459999918937683,7389,gcn,Adamic Adar,0.7
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.6
B: Sparse + Binary,0.6990000009536743,31,0.7519999742507935,6333,gcn,Adamic Adar,0.6
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.6
D: Sparse + Weighted,0.6660000085830688,33,0.7160000205039978,6333,gcn,Adamic Adar,0.6
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.5
B: Sparse + Binary,0.675000011920929,30,0.7039999961853027,5278,gcn,Adamic Adar,0.5
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.5
D: Sparse + Weighted,0.6449999809265137,30,0.6940000057220459,5278,gcn,Adamic Adar,0.5
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.4
B: Sparse + Binary,0.671999990940094,32,0.7020000219345093,4222,gcn,Adamic Adar,0.4
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.4
D: Sparse + Weighted,0.6389999985694885,31,0.6679999828338623,4222,gcn,Adamic Adar,0.4
A: Full + Binary,0.7889999747276306,29,0.7879999876022339,10556,gcn,Adamic Adar,0.3
B: Sparse + Binary,0.6570000052452087,30,0.7039999961853027,3166,gcn,Adamic Adar,0.3
C: Full + Weighted,0.7260000109672546,29,0.7599999904632568,10556,gcn,Adamic Adar,0.3
D: Sparse + Weighted,0.625,29,0.6579999923706055,3166,gcn,Adamic Adar,0.3
