Metric,Retention,Effect,Value
Jaccard,0.9,Baseline (A),0.7889999747276306
Jaccard,0.9,Structure Effect (B-A),-0.001999974250793457
Jaccard,0.9,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.9,Combined Effect (D-A),-0.041999995708465576
Jaccard,0.9,Interaction (D-B-C+A),0.02599996328353882
Jaccard,0.8,Baseline (A),0.7889999747276306
Jaccard,0.8,Structure Effect (B-A),-0.0059999823570251465
Jaccard,0.8,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.8,Combined Effect (D-A),-0.04399996995925903
Jaccard,0.8,Interaction (D-B-C+A),0.02799999713897705
Jaccard,0.7,Baseline (A),0.7889999747276306
Jaccard,0.7,Structure Effect (B-A),-0.014999985694885254
Jaccard,0.7,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.7,Combined Effect (D-A),-0.06000000238418579
Jaccard,0.7,Interaction (D-B-C+A),0.0209999680519104
Jaccard,0.6,Baseline (A),0.7889999747276306
Jaccard,0.6,Structure Effect (B-A),-0.0769999623298645
Jaccard,0.6,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.6,Combined Effect (D-A),-0.0989999771118164
Jaccard,0.6,Interaction (D-B-C+A),0.04399996995925903
Jaccard,0.5,Baseline (A),0.7889999747276306
Jaccard,0.5,Structure Effect (B-A),-0.10399997234344482
Jaccard,0.5,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.5,Combined Effect (D-A),-0.12199997901916504
Jaccard,0.5,Interaction (D-B-C+A),0.04799997806549072
Jaccard,0.4,Baseline (A),0.7889999747276306
Jaccard,0.4,Structure Effect (B-A),-0.13099998235702515
Jaccard,0.4,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.4,Combined Effect (D-A),-0.14399999380111694
Jaccard,0.4,Interaction (D-B-C+A),0.05299997329711914
Jaccard,0.3,Baseline (A),0.7889999747276306
Jaccard,0.3,Structure Effect (B-A),-0.1499999761581421
Jaccard,0.3,Weighting Effect (C-A),-0.06599998474121094
Jaccard,0.3,Combined Effect (D-A),-0.1679999828338623
Jaccard,0.3,Interaction (D-B-C+A),0.04799997806549072
Adamic Adar,0.9,Baseline (A),0.7889999747276306
Adamic Adar,0.9,Structure Effect (B-A),-0.006999969482421875
Adamic Adar,0.9,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.9,Combined Effect (D-A),-0.06000000238418579
Adamic Adar,0.9,Interaction (D-B-C+A),0.00999993085861206
Adamic Adar,0.8,Baseline (A),0.7889999747276306
Adamic Adar,0.8,Structure Effect (B-A),-0.007999956607818604
Adamic Adar,0.8,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.8,Combined Effect (D-A),-0.07400000095367432
Adamic Adar,0.8,Interaction (D-B-C+A),-0.0030000805854797363
Adamic Adar,0.7,Baseline (A),0.7889999747276306
Adamic Adar,0.7,Structure Effect (B-A),-0.030999958515167236
Adamic Adar,0.7,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.7,Combined Effect (D-A),-0.08099997043609619
Adamic Adar,0.7,Interaction (D-B-C+A),0.012999951839447021
Adamic Adar,0.6,Baseline (A),0.7889999747276306
Adamic Adar,0.6,Structure Effect (B-A),-0.0899999737739563
Adamic Adar,0.6,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.6,Combined Effect (D-A),-0.12299996614456177
Adamic Adar,0.6,Interaction (D-B-C+A),0.029999971389770508
Adamic Adar,0.5,Baseline (A),0.7889999747276306
Adamic Adar,0.5,Structure Effect (B-A),-0.11399996280670166
Adamic Adar,0.5,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.5,Combined Effect (D-A),-0.14399999380111694
Adamic Adar,0.5,Interaction (D-B-C+A),0.03299993276596069
Adamic Adar,0.4,Baseline (A),0.7889999747276306
Adamic Adar,0.4,Structure Effect (B-A),-0.11699998378753662
Adamic Adar,0.4,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.4,Combined Effect (D-A),-0.1499999761581421
Adamic Adar,0.4,Interaction (D-B-C+A),0.029999971389770508
Adamic Adar,0.3,Baseline (A),0.7889999747276306
Adamic Adar,0.3,Structure Effect (B-A),-0.13199996948242188
Adamic Adar,0.3,Weighting Effect (C-A),-0.06299996376037598
Adamic Adar,0.3,Combined Effect (D-A),-0.16399997472763062
Adamic Adar,0.3,Interaction (D-B-C+A),0.030999958515167236
